`` ``
flows VBZ
fluid NN
flung VBD
flushed VBD
fluttered VBD
flying VBG
fly NN
F NN
FN NNP
focal JJ
focused VBN
focus NN
focussed JJ
focus VB
focus VBP
foe NN
foins NNS
folded VBN
folding JJ
folding NN
folding VBG
fold NN
folds NNS
fold VB
followed VBD
followed VBN
followers NNS
following JJ
following VBG
follows VBZ
follow VBP
food NN
football NN
footholds NNS
foot NN
footsteps NNS
forced VBN
force NN
forces NNS
forehead NN
Foreign JJ
foremost JJS
forest NN
forget VB
forge VB
forgotten VBN
forgot VBD
for IN
For IN
formally RB
former DT
former JJ
forming VBG
form NN
forms NNS
forms VBZ
form VB
form VBP
Forrest NNP
forth RB
fortunately RB
forwarded VBN
forward JJ
forward RB
forwards RB
fossil NN
fought VBD
foundationalism NN
foundation NN
Foundation NNP
foundations NNS
founder NN
founders NNS
found VBD
found VBN
fountain NN
four CD
fourteen CD
fourth JJ
frame NN
Francesca NNP
Frank NNP
Fred NNP
freeing VBG
free JJ
French JJ
frenzied JJ
frenzy NN
frequency NN
frequent JJ
Frere NNP
fresh JJ
Friday NNP
fried JJ
friend NN
Friend NN
friends NNS
Froebe NNP
from IN
From IN
FROM IN
frontier NN
front JJ
front NN
frown NN
frowns VBZ
fruit NN
frustrated JJ
FSLN NNP
fuel NN
fulfills VBZ
fulfill VB
full JJ
fully RB
fumbled VBD
fumes NNS
functionality NN
functional JJ
function NN
functions NNS
fundamentally RB
fund NN
Fund NNP
funds NNS
funeral NN
fun NN
funny JJ
furiously RB
furnishes VBZ
further JJ
fury NN
fuse NN
fusion NN
future JJ
future NN
Gabriel NNP
gage NN
gage VB
gained VBN
gain VB
gallery NN
games NNS
gap NN
gaps NNS
garage NN
garden NN
gardens NNS
Gareth NNP
Garvey NNP
gasification NN
Gaskell NNP
gas NN
gasped VBD
Gates NNP
gather VBP
gave VBD
Gaviria NNP
Gawd NNP
gaze NN
gazing VBG
GCE NN
Gedge NNP
Geely NNP
geezer NN
gelantine NN
gel VB
gemstones NNS
gender NN
gene NN
generalizes VBZ
general JJ
Generally RB
general NN
General NNP
generating VBG
generation NN
generations NNS
gene-seeds NNS
genes NNS
genomes NNS
genomic JJ
Gentile JJ
gentleman NN
gently RB
geographic JJ
German JJ
German NNP
Germany NNP
Gerrard NNP
Gerstner NNP
Gert NNP
gesture NN
gets VBZ
getting VBG
get VB
get VBP
GGF NNP
ghosted VBN
ghost NN
giant JJ
gifts NNS
giggled VBN
gilded JJ
gin NN
girl NN
girls NNS
girly JJ
given VBN
Given VBN
giver NN
givers NNS
gives VBZ
give VB
giving VBG
gladden VB
glamor NN
glance VB
gland NN
glands NNS
glasses NNS
glass NN
glee NN
glial JJ
glimpsed VBD
glimpsed VBN
glimpse NN
glimpses NNS
glistening JJ
global JJ
globe NN
Glories NNS
glossy JJ
glowing JJ
glow NN
glowworms NNS
glucagon NN
glycoproteins NNS
gnawing VBG
G NN
goaded VBN
goal NN
goals NNS
goblins NNS
god-child NN
godless JJ
God NNP
goes VBZ
going VBG
golden JJ
gold JJ
Gomez NNP
gone VBN
good JJ
Goodman NNP
goodness NN
good NN
Good NNP
good RB
goods NNS
Google NNP
Goring NNP
got VBD
got VBN
go VB
go VBP
government NN
Government NN
govern VBP
gown NN
graced VBN
graceful JJ
grades NNS
gradually RB
Grainne NNP
grammar NN
Grammar NN
gramophone NN
grandchild NN
grandest JJS
grandfather NN
grandmother NN
Granovsky NNP
graph NN
grasped VBD
grasped VBN
grass NN
gratifying JJ
grave NN
Gray NNP
greaseproof JJ
greater JJR
greatest JJS
great-grandchild NN
great-grandfather NN
great JJ
greatly RB
greedily RB
greedy JJ
Greek JJ
green JJ
Greg NNP
grew VBD
grilled JJ
grilles NNS
grilling VBG
grimy JJ
grip NN
grisly JJ
gritted VBD
groaned VBD
groom NN
ground NN
ground-run VB
grounds NNS
group NN
groups NNS
growing VBG
grown-ups NNS
grown VBN
growth NN
grow VB
grow VBP
grunting VBG
guardian NN
guards NNS
guffawing VBG
guidance NN
GUIL NNP
guitar NN
guitars NNS
gulping VBG
gunbattle NN
gunman NN
gun NN
guns NNS
gurgled VBD
guts-- NNS
guy NN
guys NNS
habits NNS
had VBD
had VBN
hagglers NNS
hail NN
hair NN
hairpin NN
half DT
half JJ
half NN
half PDT
hall NN
Hall NN
hallway NN
Hammett NNP
ham NN
Handbook NN
handed VBD
handed VBN
handfuls NNS
handkerchief NN
hand NN
hands NNS
hanging JJ
hanging VBG
hangs VBZ
Hanna NNP
Hanns NNP
happened VBD
happened VBN
happening VBG
happens VBZ
happen VB
happiness NN
happy JJ
harder JJR
hard JJ
hardly RB
hardness NN
hard RB
Harkening VBG
harmonious JJ
harnessing VBG
harness NN
harness VB
harp NN
Harvard NNP
hastily RB
has VBZ
hate VBP
hating VBG
hatred NN
hats NNS
have VB
have VBP
Have VBP
having VBG
Having VBG
Hazel NNP
HDL NNP
headings NNS
headline NN
headlines NNS
head NN
heads NNS
healthy JJ
heal VB
heard VBD
heard VBN
hearing VBG
heartened VBN
hearten VB
heart NN
hear VB
hear VBP
Heatherton NNP
heavy JJ
Hechingen NN
heel NN
Heer RB
Height NN
heirloom NN
held VBD
held VBN
Hellespont NNP
hell NN
Helmut NNP
helping VBG
helpless JJ
help NN
helps VBZ
help VB
hem NN
He NN
Henry NNP
he PRP
He PRP
heralding VBG
heredity NN
here RB
Here RB
Hernando NNP
hero NN
her PRP
her PRP$
Her PRP$
herring NN
herrings NNS
herself PRP
hers NNS
hers PRP$
Hertfordshire NNP
he/she PRP
hesitated VBD
Hesketh NNP
heteroplasmic JJ
hidden VBN
higher JJR
higher RBR
highest JJS
high JJ
High JJ
highlight VB
highly RB
Highness NN
High NNP
high RB
high-skill JJ
high-wage JJ
hijras NNS
hillsides NNS
Hills NNP
hills NNS
Hilton NNP
him PRP
himself PRP
hindquarters NNS
hire VB
hiring JJ
his PRP
his PRP$
His PRP$
historian NN
historical JJ
historic JJ
history NN
History NN
hits NNS
hitting VBG
hit VBD
hit VBN
HLH-Z NN
H NNP
H. NNP
hobbit-poetry NN
Hohenzollern NN
hoisted VBN
holding VBG
hold VB
hole NN
holiday NN
Holland NNP
holler VB
Holloway NNP
hollow JJ
Hollow JJ
holster NN
holy JJ
homebaked JJ
homeland NN
homeless JJ
home NN
home RB
homes NNS
honest JJ
hon. JJ
honor NN
hooded VBN
hood NN
hoover NN
hooves NNS
hopefully RB
hope NN
hopes NNS
hope VBP
hoping VBG
horns NNS
horrors NNS
horses NNS
Hortensia NNP
hospital NN
hostage NN
hourly JJ
hour NN
Hour NN
hours NNS
households NNS
house NN
House NNP
houses NNS
housing NN
Howard NNP
however RB
However RB
how WRB
How WRB
HR NNP
huffed VBD
huge JJ
hugged VBD
humane JJ
humanity NN
human JJ
human NN
humans NNS
humiliated VBD
humming JJ
humor NN
humping VBG
hump NN
hundred CD
hundreds NNS
Hungarian JJ
hunger NN
hungry JJ
hung VBD
hunting NN
huntin' VBG
hurrying VBG
hurtles VBZ
husband NN
huskily RB
Hussain NN
Hutten NNP
hygiene NN
hymn NN
Hyperreal NNP
hypodermic JJ
hypothesis NN
IBM NNP
Icahn NNP
ice NN
icon NN
ideal JJ
idea NN
ideas NNS
Ideas NNS
identity NN
ideology NN
if IN
If IN
IF IN
ignominious JJ
ignored VBD
ignore VB
IKEA NNP
ill JJ
illumines VBZ
illustrated VBN
imaginative JJ
imagined JJ
imagined VBD
imagined VBN
imagine VB
imbalance NN
immediacy NN
immediate JJ
immediately RB
Immediate NN
immigrants NNS
immune JJ
IM NN
impact NN
imparting VBG
impatient JJ
impede VB
imperial JJ
Imperial JJ
implanted JJ
implementing VBG
implicit JJ
importance NN
important JJ
imposed VBN
imposing VBG
impossible JJ
impoverished JJ
impression NN
impressive JJ
imprisoned VBN
improved VBN
improvements NNS
improves VBZ
improve VB
inadequate JJ
inadmissible JJ
inalienable JJ
inarticulate JJ
inaugurate VB
in-between RB
incapable JJ
incarcerated VBN
Incarnation NN
incentive NN
Incidentally RB
incline NN
included VBD
including VBG
income NN
incomplete JJ
inconvenience NN
incorporate VB
increases NNS
increase VB
incredibly RB
incumbent NN
indeed RB
independent JJ
India NNP
indicated VBD
indicating VBG
Indies NNP
indignities NNS
indignity NN
indirect JJ
individualist JJ
individual JJ
individuals NNS
indoctrination NN
inducted VBN
industrialized JJ
industrialize VB
industrial JJ
industry NN
ineffectually RB
infection NN
infested VBN
inflate VB
inflation NN
influencing VBG
information NN
Information NN
infuriated VBD
ingrained JJ
Ingrid NNP
inhaled VBD
inherent JJ
inheritance NN
inhibits VBZ
in IN
In IN
initial JJ
initially RB
Initiative NN
injecting VBG
injunction NN
injured JJ
injured VBN
injuries NNS
injury NN
innovators NNS
Inns NNS
input NN
in RB
in RP
inscribed VBN
insects NNS
inserting VBG
inside IN
inside NN
inside RB
insides NNS
insist VBP
inspect VB
inspiring JJ
instability NN
instance NN
instant NN
Instead IN
instead RB
Instead RB
instil VB
institute NN
institutions NNS
instructed VBD
instruction NN
instructor NN
instructors NNS
instrument NN
insurance NN
insurrections NNS
intake NN
Intangible JJ
integrated VBN
integration NN
intelligibility NN
intelligible JJ
intense JJ
intensity NN
intention NN
interacting JJ
interactions NNS
interact VB
intercepted VBN
interested JJ
interesting JJ
interest NN
interests NNS
interference NN
intermediate JJ
international JJ
International JJ
interpret VB
interrupted VBN
interrupt VB
intervened VBD
interviewed VBD
interviewing VBG
interview NN
intimacy NN
intimate JJ
into IN
in-tray NN
intrigued VBN
introduce VB
introducing VBG
invasion NN
inveigle VB
invented VBD
inventions NNS
investigated VBD
Investigation NN
investing NN
investments NNS
invest VB
involved JJ
involved VBN
I PRP
Ipswich NNP
Iraq NNP
Irish JJ
IR NN
ironing VBG
Isabel NNP
Isis NNP
isolated VBN
isolation NN
Israel NNP
issue NN
Issue NN
issues NNS
issuing VBG
is VBZ
Is VBZ
Italian JJ
Italy NNP
it PRP
It PRP
itself PRP
its PRP$
Izzie NNP
jabbed VBD
Jackie NNP
Jackson NNP
Jacqueline NNP
James NNP
jammed VBD
Janeen NNP
Jane NNP
jangled VBD
Janson NNP
January NNP
Jaochim NNP
Japanese JJ
Japan NNP
Jason NNP
jaw NN
Jean NNP
jeered VBN
Jerusalem NNP
jest NN
Jesus NNP
jetty NN
Jewish JJ
jibed VBD
jig NN
jinked VBD
Joan NNP
job NN
jobs NNS
John NNP
Johnson NNP
joining VBG
joint JJ
Jones NNP
Josephine NNP
Joseph NNP
Jostling VBG
jot VB
journalists NNS
journal NN
journeyed VBD
journey NN
Journey NNP
journos NNS
joust VB
Joyce NNP
joy NN
Joyride NN
judges NNS
Julian NNP
Julia NNP
Julie NNP
Juliet NNP
jump VB
June NNP
jungle NN
Jung NNP
juniper NN
junk NN
Ju NNP
justice NN
justification NN
justified VBD
just JJ
just RB
Just RB
juxtaposed VBN
Kaiser NN
Kaitlyn NNP
Kansas NNP
Karnstein NNP
Kay NNP
keeper NN
keep VB
keep VBP
Keith NNP
kept VBD
Kermit NNP
keyboards NNS
khurtan NN
kicked VBN
kiddies NNS
kidnapping NN
kidnapping VBG
kidney NN
kidneys NNS
kid NN
kids NNS
killed VBN
killing NN
kill VB
kindergarten NN
kindle VB
kind NN
kinds NNS
king NN
King NNP
Kings NNS
Kirsch NN
kiss NN
kiss VB
Kluson NN
km NN
knee-high JJ
knees NNS
knelt VBD
knew VBD
knighted VBN
knocked VBN
knocking VBG
knotted VBN
known JJ
known VBN
knows VBZ
know VB
know VBP
Korea NNP
Koren NNP
Korn NNP
Kosovo NNP
Kurdish-dominated JJ
Kurdish JJ
label NN
laboratory NN
laboring VBG
labor NN
Labour-controlled JJ
Labour JJ
laces NNS
Lacking VBG
lack NN
lacks VBZ
ladders NNS
lads NNS
lady NN
Lady NNP
laid VBD
laid VBN
lamb NN
Lamont NNP
Lance NNP
landed VBD
landless JJ
landlocked JJ
land NN
landscape NN
land VB
language NN
languages NNS
languor NN
lanterns NNS
lap NN
large JJ
larger JJR
largest JJS
lashes NNS
last JJ
Last JJ
late JJ
later JJR
later RB
later RBR
latest JJS
latter DT
laughing VBG
laughter NN
launched VBN
launching VBG
launch VB
launderette NN
lavish JJ
law NN
lawn NN
laws NNS
lawyer NN
lawyers NNS
layered VBN
layering VBG
layer NN
layers NNS
LDL NNP
leader NN
leadership NN
leaders NNS
leading JJ
leading VBG
leads VBZ
lead VB
leaflet NN
leaflets NNS
League NN
leaning VBG
leapt VBD
learning VBG
learns VBZ
learn VB
learn VBP
leashes NNS
least JJS
leather NN
leaves VBZ
leave VB
leave VBP
leaving VBG
Lebanese JJ
lectured VBD
lecture NN
ledges NNS
led VBN
left JJ
leftover JJ
left VBD
left VBN
Left VBN
legal JJ
Legerton NNP
legislation NN
legitimize VB
leg NN
legs NNS
Leith NNP
lender NN
length NN
lengthy JJ
Leonard NNP
less JJR
lessons NNS
less RB
less RBR
lets VBZ
letter NN
letters NNS
letting NN
letting VBG
let VB
Let VB
let VBD
let VBP
Leutnant NN
level NN
levels NNS
leverage VB
Lev NNP
Lewis NNP
liable JJ
libel NN
libraries NNS
library NN
Library NNP
licence NN
lid NN
Lieberman NNP
life NN
Life NN
lifetime NN
lifted VBD
lifting VBG
Lift NN
lift VB
lighting VBG
light JJ
lightly RB
light NN
Light NNP
lights NNS
like IN
Like IN
likely JJ
likes NNS
like UH
like VB
like VBP
limb NN
limbs NNS
limited JJ
limped VBD
limped VBN
Lincoln NNP
linear JJ
lined VBN
line NN
lines NNS
linger VB
linguistically RB
lining NN
link NN
link VB
lips NNS
LIRT NNP
lisp VB
listening VBG
listen VB
list NN
lists VBZ
literalized VBN
litters NNS
little DT
little JJ
little RB
lived VBD
lived VBN
live JJ
liven VB
Livermore NNP
liver NN
Liverpool NNP
lives NNS
lives VBZ
live VBP
living JJ
living NN
living-room NN
living VBG
lizards NNS
'll MD
loan NN
local JJ
locks NNS
logic NN
logistical JJ
logo NN
loins NNS
London NNP
longed VBD
longer JJR
longer RB
long JJ
long RB
looked VBD
looked VBN
looking VBG
look NN
looks VBZ
look VB
Look VB
look VBP
loo NN
loose JJ
looted VBD
loot VB
loping VBG
Lord NNP
Lords NNP
Lorraine NNP
loses VBZ
lose VB
lose VBP
losing VBG
lost VBN
lot NN
lots NNS
loudly RB
Louis NNP
lounged VBN
loved VBD
loved VBN
Lovelock NNP
lovely JJ
Lovemaking NNP
love NN
Love NNP
lovers NNS
love VB
love VBP
lower JJR
low-flying JJ
low JJ
low-skill JJ
low-wage JJ
L-shaped JJ
Ltd. NNP
lubricants NNS
luck NN
lucky JJ
Lucy NNP
Luis NNP
lukewarm JJ
lullabies NNS
lumbering JJ
lungs NNS
lures NNS
lurked VBN
Luxembourg NNP
luxurious JJ
luxury JJ
lying VBG
Lyneham NNP
mace-like JJ
MacFinall NNP
machineheads NNS
machine NN
machinery NN
MacRory NNP
Madame NNP
Mada NNP
made VBD
Made VBD
made VBN
mad JJ
magician NN
magic NN
Magnetic JJ
magnetism NN
main JJ
mainly RB
mains NN
majestic JJ
majority NN
major JJ
Major NNP
makes VBZ
make VB
make VBP
making VBG
male JJ
male NN
managed VBD
managed VBN
management NN
managers NNS
Manchester NNP
MANCHESTER NNP
Mandy NNP
manhood NN
manic JJ
manifested VBN
manifests VBZ
manipulate VB
manner NN
man NN
Mann NNP
Man NNP
mantelpieces NNS
mantises NNS
mantis NN
mantle NN
Manuel NNP
manufactured VBD
manufacture NN
manufacturing JJ
manufacturing VBG
manure NN
many DT
Many DT
many JJ
many PDT
Mapie NNP
map NN
mapped VBD
mapped VBN
marble NN
Margaret NNP
Margiela NNP
Marie-Sophie NNP
Marines NNP
Marines NNS
marked VBN
market NN
marketplaces NNS
mark NN
Mark NNP
mark VB
Marlboro NNP
Marlborough NNP
marmalade NN
marriage NN
married JJ
married VBN
marries VBZ
marry VB
marvelous JJ
Marxism NN
Marxist JJ
Masculine JJ
Masha NNP
mash-up NN
Mason NNP
masonry NN
massacred VBN
massed JJ
mass JJ
master NN
Master NNP
masterpiece NN
masters NNS
matched VBD
matched VBN
material NN
materials NNS
mate VB
mathematical JJ
math NN
Matteo NNP
matter NN
matters VBZ
matter VB
Matt NNP
maturity NN
Max NNP
maybe RB
may MD
McGee NNP
McKinnon NNP
MC NN
mean JJ
means NN
means VBZ
meant VBD
meant VBN
mean VB
mean VBP
measured VBN
measurements NNS
measure NN
meat NN
meats NNS
mecca NN
mechanical JJ
mechanics NNS
mechanism NN
Medellan NNP
media NN
media NNS
medical JJ
Medical NNP
medicine NN
medieval JJ
meditative JJ
meeting NN
meeting VBG
Melissa NNP
melodic JJ
melody NN
melted VBD
melts VBZ
member NN
members NNS
Memories NNS
memory NN
Mendelevich NNP
mend VB
men NNS
Men NNS
mental JJ
mention VB
me PRP
Mercedes NN
merge VBP
mermaid NN
merry NNP
message NN
messaging NN
messed VBN
metallically RB
metallic JJ
metals NNS
metamorphosed VBN
meters NNS
method NN
Methods NNS
metres NNS
Mexico NNP
mice NNS
Michael NNP
micro-instruction NN
Microsoft NNP
middle-aged JJ
middle-class NN
middle-earning JJ
middle JJ
middle NN
middle-skill JJ
mid-European JJ
midnight NN
might MD
might NN
migrant NN
mild JJ
milestone JJ
milk NN
Miller NNP
million CD
millions NNS
Mimaw NN
mimicry NN
mind NN
mindset NN
minds NNS
mine NN
mine PRP$
mineral JJ
miners NNS
mineshafts NNS
mines NNS
miniature JJ
minimum JJ
minipump NN
Minister NN
Ministry NN
minority NN
Minton NNP
minute NN
minutes NNS
miracle NN
Miriam NNP
mischance NN
misery NN
misread VB
missing VBG
mission NN
Mission NNP
mistakes NNS
mister NNP
Mister NNP
mitogen NN
mitosis NN
M NNP
mobile JJ
mob NN
Mobs NNP
mocked VBN
modeling NN
modeling VBG
Modelling VBG
model NN
models NNS
mode NN
Modernism NN
modern JJ
modest JJ
modified VBN
Modi NNP
Mojacar NNP
molecule NN
Moles NNS
moment NN
moments NNS
mom NN
monasteries NNS
money NN
monitors VBZ
Montagu NNP
month NN
months NNS
mood NN
Moor NNP
Moors NNS
mooted VBN
moral JJ
Morecambe NNP
more JJR
more JJRJR
Moreover RB
more RBR
More RBR
morning NN
Mortimer NNP
mosses NNS
moss NN
most JJS
Most JJS
mostly RB
most RB
most RBS
Most RBS
mother NN
mothers NNS
motioned VBD
motion NN
motorbike NN
motorcycle NN
motoring VBG
Motors NNPS
mounted VBN
mouth NN
mouths NNS
moved VBD
moved VBN
movement NN
movements NNS
move VB
movie NN
movies NNS
mRNA NN
Mr NNP
Mrs NNP
much DT
much JJ
much RB
muck NN
mud NN
mug NN
mules NNS
multiple JJ
multitude NN
murdering VBG
murmured VBD
Murray NNP
muscle NN
muscles NNS
Museum NN
musicians NNS
music NN
must MD
mutiny NN
muttered VBD
muttered VBN
muttering VBG
mutter VB
mutual JJ
'm VBP
Myc NNP
my PRP$
My PRP$
myself PRP
mysterious JJ
mystical JJ
Nabisco NNP
nail NN
naked JJ
named VBN
namely RB
name NN
names NNS
napkin NN
napping VBG
narrative JJ
Narrows NNP
Nasser NN
nasty JJ
national JJ
nationwide JJ
natural JJ
naturally RB
nature NN
nauseated JJ
nauseous JJ
Nazi JJ
nearby JJ
nearby RB
near IN
near JJ
neat JJ
neatly RB
necessarily RB
necessary JJ
necessitates VBZ
neck NN
Necromundan NNP
needed VBD
needed VBN
need MD
need NN
needs NNS
needs VBZ
need VB
need VBP
negative JJ
neglected JJ
Negotiations NNS
neighbor NN
neither RB
Neither RB
Nell NNP
neophyte NN
nephew NN
nerve NN
nerves NNS
nervous JJ
nestling VBG
Nest NNP
Nests NNPS
nests NNS
net NN
networked VBN
Nevada NNP
never RB
NEVER RB
new JJ
New NNP
news NN
newspaper NN
Newton NNP
next IN
next JJ
Next JJ
Next RB
NHS NNP
nibbling VBG
Nicci NNP
nicely RB
niceness NN
niche NN
nicked VBN
Nicodemus NNP
niece NN
Nigel NNP
night NN
Nikolai NNP
Nina NNP
nine-by-seven-inch JJ
nine CD
♯ NN
Noah NN
Noah NNP
nobody NN
nocturnal JJ
no DT
No DT
noise NN
nominated VBN
non-alcoholic JJ
non-appearance NN
none NN
no RB
nor CC
Noriega NNP
normal JJ
normally RB
Norman NNP
normative JJ
norm NN
NorthEast NN
northern JJ
Northgate NNP
north JJ
North NNP
nose NN
noses NNS
notable JJ
notebooks NNS
noted VBD
note NN
notes NNS
nothing NN
Nothing NN
noticed VBN
notice NN
notice VB
Notice VB
noticing VBG
not RB
Not RB
no UH
No UH
novelist NN
novel NN
novels NNS
Novogratz NNP
nowhere RB
now RB
Now RB
nozzle NN
n't RB
number NN
numbers NNS
nunneries NNS
Nunthorpe NNP
nursery NN
nurtured VBN
nuzzled VBD
obedience NN
obediently RB
obeying VBG
objections NNS
objectives NNS
object NN
objects NNS
obliged VBN
observations NNS
Observer NNP
observe VB
obtained VBD
obtain VB
obviously RB
occasional JJ
occasion NN
occupy VB
occurred VBD
occurring VBG
o'clock NNS
Oct. NNP
odd JJ
offenders NNS
offense NN
offered VBN
offering VBG
offer VB
office NN
officer NN
officers NNS
offices NNS
officials NNS
off IN
off RP
of IN
of RP
often RB
o' IN
Okanagan NNP
okay JJ
Okay UH
OK NN
older JJR
old JJ
Old JJ
olives NNS
Omally NNP
Omega NNP
once IN
Once IN
once RB
Once RB
one CD
One CD
one-legged JJ
one NN
one PRP
ones CD
oneself PRP
ones NN
ones NNS
on IN
On IN
ON IN
only JJ
only RB
Only RB
ONLY RB
on RB
on RP
Ontario NNP
onto IN
opened VBD
Opened VBN
opening VBG
open JJ
Open JJ
opens VBZ
open VB
operate VB
operate VBP
operation NN
operator NN
opinions NNS
opossum NN
Opportunities NNS
opportunity NN
opposed VBN
opposing VBG
opposite JJ
opposite NN
opposition NN
oppressive JJ
optic JJ
optimal JJ
optimize VB
optional JJ
Option NN
or CC
Or CC
orchard NN
orchid NN
Orc NNP
Orcs NNP
ordered VBN
order NN
orders NNS
ordinarily RB
ordinary JJ
organization NN
organizations NNS
organized JJ
organized VBN
organize VB
organ NN
organs NNS
oriental-style JJ
orientated VBD
origami NN
Origami NN
origamists NNS
original JJ
originally RB
Orla NNP
orthodoxies NNS
orthodox JJ
Oscar NNP
oscillate VB
Ostermark NNP
other JJ
Other JJ
other NN
other RB
others NNS
otherwise RB
our PRP$
Our PRP$
ourselves PRP
outburst NN
outcrop NN
outfit NN
out IN
outline NN
out-moded JJ
out-of-work JJ
outpourings NNS
out RB
Out RB
outriders NNS
out RP
outside IN
outside NN
oven-like JJ
over-active JJ
over-challenged JJ
over-coddled JJ
overcoming VBG
overcompensate VB
overeating VBG
overemphasizing VBG
overgrown JJ
overhead RB
over IN
Over IN
overlapped VBD
over RB
over RP
overs NNS
over-straining JJ
Overstry NNP
overwhelming JJ
ovum NN
owners NNS
own JJ
Oxford NNP
oxygenating VBG
oxygen NN
pacifist NN
pacify VB
package NN
packing NN
pack NN
padded JJ
padded VBD
Paddington NNP
paddling NN
pagan JJ
pageant NN
pages NNS
paid JJ
painful JJ
painfully RB
pain NN
painted JJ
painter NN
painting NN
paintings NNS
painting VBG
pair NN
pairs NNS
pairs VBZ
pajamas NNS
Palace NNP
pale JJ
pall NN
pals NNS
pamphlet NN
pancreas NN
pancreatic JJ
pandemics NNS
pan NN
panpipes NNS
panted VBD
paper NN
paraded VBD
paraded VBN
paradise NN
parameters NNS
parenting NN
parents NNS
Pargeter NNP
Parisvega NNP
parking NN
Parkinson NNP
park NN
Park NNP
parody NN
parricidal JJ
partial JJ
participating VBG
particles NNS
particular JJ
particularly RB
partnering VBG
partner NN
part NN
parts NNS
party NN
passed VBD
passed VBN
passing NN
passing VBG
passionate JJ
passion NN
Passion NN
pass VB
pass VBP
paste VBP
past IN
past JJ
past NN
patent JJ
path NN
paths NNS
patience NN
patient NN
patients NNS
patriarchal JJ
Patrick NNP
patriotism NN
patrol VBP
patrons NNS
Patrons NNS
pattering VBG
pattern NN
patterns NNS
patting VBG
Paul NNP
paused VBN
payments NNS
pay VB
Peace NN
peak NN
peer NN
peers NNS
peer-to-peer JJ
pelted VBN
penalty NN
penetrate VB
penicillin NN
Penry NNP
people NN
people NNS
People NNS
percent NN
percent NNS
perfection NN
perfect VB
performance NN
performed VBN
perfuse VBP
perhaps RB
per IN
period NN
periods NNS
peripheral JJ
permission NN
permit VBP
perpetual JJ
persecution NN
persevered VBD
personal JJ
PERSONIFIED VBN
person NN
Person NNP
perspectives NNS
persuade VB
perusing VBG
pervert VB
Peter NNP
petrified JJ
petrol NN
Peugeot NN
pews NNS
phagocytosed VBN
philanthropy NN
Philippe NNP
Philippines NNP
Philippines NNPS
philosophies NNS
Phoenician JJ
phone NN
phones NNS
photograph NN
photography NN
Photoshopped VBN
phrased VBN
phrase NN
Phrase NN
piano NN
picked VBD
pickled VBN
picnic NN
picture NN
piece NN
pierced VBD
Pigeons NNS
pillaged VBD
pillars NNS
pillow NN
piloted VBD
pilot NN
pinching VBG
pink JJ
pinning VBG
pioneering JJ
pipe NN
pirate NN
pistol NN
pitch NN
pit NN
pivoting VBG
PKK NNP
placed VBN
place NN
places NNS
place VB
place VBP
placing VBG
planetary JJ
planet NN
planks NNS
planning NN
Planning NN
plan NN
plant NN
Plant NNP
plants NNS
plaster NN
plastic NN
plate NN
plates NNS
platforms NNS
play-bike JJ
played VBN
player NN
playfully RB
plays NNS
plays VBZ
play VB
play VBP
pleasure NN
pleasures NNS
plenty NN
plot NN
plump JJ
plundered VBN
pneuma NN
p. NN
P NNP
PNS NNS
poems NNS
poet NN
Poet NN
point NN
points NNS
poison NN
poisonous JJ
polarity NN
police NNS
policies NNS
polished JJ
Polish JJ
political JJ
politics NN
polluted VBN
Polly NNP
polo NNP
pondered VBD
pools NNS
poorest JJS
poor JJ
pope NN
Pop NNP
popped VBD
popped VBN
population NN
Populations NNP
porch NN
pornography NN
portal NN
Port-au-Prince NNP
portmanteau NN
Port-Salut NNP
' POS
posing VBG
Positano NNP
positioning VBG
position NN
positions NNS
positive JJ
possessed VBD
possessed VBN
possesses VBZ
possess VB
possibilities NNS
possibility NN
possible JJ
Possibly RB
postage NN
post-funeral JJ
postmaster NN
postmodern JJ
postnatal JJ
posts NNS
postulated VBN
postulates VBZ
postulating VBG
potato NN
pothole NN
pounded VBN
pound NN
poured VBD
pouring JJ
pouring VBG
poverty NN
powerful JJ
powerfully RB
power NN
Power NN
pp. NN
pp. NNS
practical JJ
practice NN
Practices NNPS
practices NNS
prawns NNS
prayer NN
praying VBG
preach VB
precious JJ
precisely RB
precludes VBZ
predator NN
predictably RB
predict VB
pre-existing JJ
preferably RB
preferring VBG
prefer VB
pre-fracturing NN
prejudice NN
Premier NNP
Preparations NNS
presence NN
presentation NN
presented VBN
presenting VBG
present JJ
present NN
Present NNP
present VBP
preserve NN
presidential JJ
president NN
President NN
President NNP
pressed VBD
pressing JJ
pressing VBG
press NN
pressure NN
pressures NNS
pressurizes VBZ
presupposes VBZ
pretty RB
previous JJ
previously RB
price NN
pricked VBD
pricked VBN
pride NN
priest NN
primarily RB
primary JJ
Prime JJ
primeval JJ
prince NN
princess NN
Principalities NNS
principal JJ
principles NNS
print VB
prison NN
privacy NN
private JJ
probably RB
probing VBG
problem NN
problems NNS
procedure NN
proceed VBP
processes NNS
processing VBG
process NN
process VB
proctor NN
producer NN
produce VB
producing VBG
production NN
productive JJ
productivity NN
product NN
products NNS
professionalism NN
professional JJ
professions NNS
Pro-Gen JJ
progenoid JJ
programme NN
Programme NN
programmes NNS
program NN
progressed VBN
progress NN
projections NNS
project NN
project VB
prolactin NN
proliferates VBZ
prolific JJ
promenading JJ
prominence NN
prominent JJ
promise NN
promote VB
promptitude NN
prompt VB
propelled VBN
propels VBZ
propensities NNS
proper JJ
